applicant_id,gender,age,age_group,race,income,coapplicant_income,credit_score,loan_amount,loan_term,employment_years,home_ownership,education,self_employed,dependents,property_area,dti,loan_status
L00021,Female,41,Middle-aged,Caucasian,44000.0,28600.0,638,246900.0,180,5.2,Mortgage,Graduate,No,0,Semiurban,0.344,1
L00022,Male,50,Middle-aged,Hispanic,40400.0,8300.0,736,152300.0,360,5.1,Rent,Undergraduate,No,0,Rural,0.225,1
L00023,Male,33,Middle-aged,Caucasian,56800.0,13000.0,619,200000.0,360,2.5,Mortgage,Graduate,No,3+,Urban,0.206,1
L00024,Male,45,Middle-aged,Hispanic,44300.0,20400.0,704,211200.0,360,9.6,Mortgage,Graduate,Yes,0,Semiurban,0.235,1
L00025,Male,44,Middle-aged,Hispanic,46300.0,23700.0,587,243900.0,360,4.9,Own,Graduate,No,1,Urban,0.251,1
L00026,Female,18,Young,Caucasian,32300.0,33900.0,579,237900.0,360,12.9,Rent,Undergraduate,No,0,Urban,0.259,1
L00027,Male,65,Senior,Caucasian,72600.0,22500.0,605,349200.0,360,16.3,Mortgage,Graduate,No,1,Urban,0.264,1
L00028,Male,56,Senior,Hispanic,37100.0,22600.0,690,234000.0,360,7.8,Mortgage,Graduate,No,0,Urban,0.282,1
L00029,Female,36,Middle-aged,Caucasian,24500.0,0.0,589,79900.0,360,5.1,Own,Undergraduate,No,0,Semiurban,0.235,1
L00030,Male,27,Young,Caucasian,36000.0,24800.0,613,154800.0,360,3.3,Mortgage,Graduate,No,2,Semiurban,0.183,1
L00031,Female,45,Middle-aged,Caucasian,36200.0,19400.0,600,156300.0,120,4.5,Own,Graduate,No,2,Urban,0.375,0
L00032,Male,42,Middle-aged,Caucasian,73000.0,23000.0,679,403900.0,360,3.8,Mortgage,Graduate,No,1,Urban,0.303,1
L00033,Male,45,Middle-aged,Asian,48200.0,38700.0,652,324100.0,360,7.1,Rent,Graduate,No,0,Rural,0.268,1
L00034,Female,43,Middle-aged,Caucasian,38700.0,21100.0,558,165700.0,360,18.1,Mortgage,Graduate,No,0,Urban,0.199,0
L00035,Female,47,Middle-aged,Caucasian,25300.0,21700.0,557,113200.0,180,16.8,Mortgage,Graduate,No,0,Rural,0.244,0
L00036,Female,58,Senior,Hispanic,50300.0,0.0,648,228500.0,360,14.3,Mortgage,Graduate,No,1,Semiurban,0.327,1
L00037,Male,47,Middle-aged,Asian,37800.0,0.0,663,186100.0,360,9.3,Rent,Undergraduate,No,2,Semiurban,0.354,0
L00038,Male,28,Young,Caucasian,47100.0,0.0,714,221200.0,120,11.2,Mortgage,Graduate,No,1,Urban,0.626,1
L00039,Female,57,Senior,Asian,75300.0,0.0,686,260300.0,360,9.5,Mortgage,Graduate,No,2,Urban,0.249,1
L00040,Male,60,Senior,Caucasian,60100.0,0.0,721,259200.0,360,7.3,Rent,Graduate,Yes,0,Semiurban,0.31,1
L00041,Male,75,Senior,Asian,25600.0,0.0,559,120400.0,360,14.3,Rent,Undergraduate,No,0,Semiurban,0.338,0
L00042,Male,27,Young,Caucasian,24200.0,0.0,703,86500.0,360,14.0,Rent,Undergraduate,No,0,Semiurban,0.257,1
L00043,Male,43,Middle-aged,Caucasian,47800.0,21700.0,662,248600.0,360,3.8,Own,Graduate,Yes,0,Rural,0.257,1
L00044,Female,18,Young,African American,20000.0,0.0,563,74200.0,360,1.4,Mortgage,Undergraduate,No,0,Semiurban,0.267,0
L00045,Male,47,Middle-aged,Caucasian,63500.0,42100.0,634,301500.0,180,5.9,Rent,Graduate,No,1,Rural,0.289,1
L00046,Female,34,Middle-aged,Hispanic,37400.0,12700.0,537,228900.0,360,2.9,Rent,Undergraduate,No,0,Semiurban,0.329,0
L00047,Male,64,Senior,Caucasian,52400.0,0.0,611,264800.0,360,8.2,Rent,Graduate,No,0,Urban,0.364,0
L00048,Male,31,Middle-aged,Hispanic,33300.0,0.0,710,133300.0,360,4.4,Mortgage,Graduate,No,0,Semiurban,0.288,1
L00049,Male,20,Young,Hispanic,88500.0,53500.0,564,387100.0,360,14.4,Rent,Graduate,Yes,0,Rural,0.196,1
L00050,Male,35,Middle-aged,Caucasian,152800.0,12200.0,637,738800.0,360,12.4,Rent,Graduate,No,1,Urban,0.322,1
L00051,Female,18,Young,Asian,37300.0,0.0,537,133400.0,120,14.6,Own,Graduate,No,1,Semiurban,0.476,0
L00052,Female,50,Middle-aged,Caucasian,48000.0,0.0,564,162200.0,360,5.4,Rent,Graduate,No,1,Urban,0.243,1
L00053,Female,18,Young,Hispanic,38200.0,0.0,581,147400.0,360,0.1,Rent,Graduate,No,0,Rural,0.278,0
L00054,Female,41,Middle-aged,Caucasian,37600.0,0.0,679,157600.0,360,4.0,Own,Graduate,No,0,Semiurban,0.302,1
L00055,Female,18,Young,African American,22800.0,0.0,531,73400.0,360,12.3,Mortgage,Graduate,No,2,Urban,0.232,0
L00056,Female,37,Middle-aged,Caucasian,27000.0,0.0,517,115700.0,360,3.7,Mortgage,Undergraduate,No,3+,Rural,0.308,0
L00057,Male,60,Senior,Caucasian,31100.0,15900.0,655,120100.0,360,10.6,Rent,Undergraduate,No,0,Urban,0.184,0
L00058,Male,45,Middle-aged,Caucasian,57600.0,32000.0,633,373800.0,360,5.3,Rent,Graduate,No,0,Semiurban,0.3,1
L00059,Male,30,Middle-aged,Caucasian,39800.0,36900.0,660,301700.0,360,1.9,Rent,Graduate,No,0,Semiurban,0.283,1
L00060,Male,40,Middle-aged,Asian,20000.0,10900.0,571,120000.0,360,3.7,Rent,Graduate,No,1,Rural,0.279,0
L00061,Male,41,Middle-aged,African American,46900.0,12800.0,606,217600.0,360,9.6,Mortgage,Undergraduate,No,1,Semiurban,0.262,1
L00062,Male,46,Middle-aged,African American,38600.0,25300.0,613,186200.0,360,5.2,Rent,Graduate,No,3+,Rural,0.21,1
L00063,Female,24,Young,Caucasian,71400.0,0.0,621,333700.0,180,2.2,Mortgage,Graduate,No,1,Urban,0.473,0
L00064,Male,48,Middle-aged,Caucasian,56900.0,0.0,616,290000.0,360,6.9,Rent,Graduate,No,0,Urban,0.367,0
L00065,Male,18,Young,Caucasian,27100.0,71100.0,538,218300.0,360,5.4,Mortgage,Graduate,No,1,Urban,0.16,1
L00066,Male,33,Middle-aged,Asian,20100.0,41100.0,477,170100.0,360,5.4,Own,Graduate,No,3+,Semiurban,0.2,1
L00067,Male,35,Middle-aged,Hispanic,33100.0,0.0,568,122800.0,360,17.0,Mortgage,Undergraduate,No,1,Urban,0.267,0
L00068,Female,48,Middle-aged,Caucasian,32400.0,0.0,663,123200.0,180,7.3,Mortgage,Graduate,Yes,0,Urban,0.385,0
L00069,Male,41,Middle-aged,Caucasian,71500.0,19500.0,692,320500.0,120,4.6,Rent,Undergraduate,No,0,Rural,0.469,1
L00070,Female,24,Young,Caucasian,41500.0,0.0,563,213400.0,360,4.7,Mortgage,Graduate,No,0,Urban,0.37,0
L00071,Female,29,Young,African American,50100.0,0.0,684,179500.0,360,4.6,Mortgage,Graduate,No,2,Semiurban,0.258,1
L00072,Male,43,Middle-aged,African American,23100.0,6600.0,604,109400.0,360,11.5,Rent,Graduate,No,1,Semiurban,0.265,1
L00073,Male,40,Middle-aged,Asian,72100.0,0.0,560,370700.0,360,17.0,Mortgage,Undergraduate,Yes,2,Urban,0.37,0
L00074,Female,34,Middle-aged,Caucasian,55600.0,22900.0,519,276100.0,360,11.4,Rent,Graduate,Yes,0,Semiurban,0.253,1
L00075,Female,35,Middle-aged,Asian,20000.0,26400.0,664,168500.0,360,5.0,Rent,Graduate,No,3+,Semiurban,0.261,0
L00076,Female,49,Middle-aged,African American,54100.0,0.0,617,169500.0,180,5.9,Mortgage,Undergraduate,No,0,Semiurban,0.317,0
L00077,Female,34,Middle-aged,Caucasian,43300.0,0.0,535,222700.0,360,14.7,Own,Graduate,No,0,Rural,0.37,0
L00078,Male,39,Middle-aged,Caucasian,57300.0,0.0,491,196100.0,360,5.6,Rent,Undergraduate,No,0,Semiurban,0.246,1
L00079,Male,67,Senior,Caucasian,34700.0,0.0,627,180600.0,360,14.7,Rent,Undergraduate,No,0,Rural,0.374,0
L00080,Male,23,Young,Caucasian,81600.0,18200.0,647,310000.0,180,23.5,Mortgage,Graduate,No,3+,Semiurban,0.315,1
L00081,Female,18,Young,Hispanic,22900.0,0.0,526,91600.0,120,4.3,Mortgage,Graduate,No,0,Semiurban,0.533,0
L00082,Female,50,Middle-aged,Caucasian,58100.0,0.0,581,214600.0,360,8.1,Rent,Graduate,No,0,Urban,0.266,1
L00083,Male,32,Middle-aged,Asian,68100.0,0.0,592,270700.0,360,8.1,Mortgage,Graduate,No,3+,Semiurban,0.286,1
L00084,Male,37,Middle-aged,Caucasian,33200.0,0.0,679,118300.0,360,3.9,Mortgage,Graduate,No,1,Semiurban,0.256,1
L00085,Male,31,Middle-aged,Caucasian,108400.0,0.0,572,560600.0,360,5.3,Rent,Graduate,No,0,Rural,0.372,1
L00086,Male,37,Middle-aged,Caucasian,53800.0,14400.0,583,226700.0,360,4.7,Rent,Graduate,No,0,Semiurban,0.239,1
L00087,Female,60,Senior,Caucasian,54100.0,0.0,728,241800.0,360,7.2,Mortgage,Graduate,No,2,Semiurban,0.322,1
L00088,Female,50,Middle-aged,Caucasian,22600.0,0.0,645,74800.0,360,9.5,Own,Graduate,No,0,Semiurban,0.238,1
L00089,Female,51,Middle-aged,Caucasian,97200.0,0.0,688,471900.0,360,9.2,Mortgage,Graduate,No,0,Rural,0.349,1
L00090,Male,24,Young,Caucasian,30000.0,23900.0,544,180400.0,360,8.1,Mortgage,Undergraduate,No,0,Semiurban,0.241,0
L00091,Male,27,Young,Caucasian,73900.0,0.0,624,384600.0,360,11.7,Own,Graduate,Yes,0,Urban,0.374,1
L00092,Female,18,Young,Caucasian,28000.0,13800.0,540,139800.0,360,1.2,Rent,Undergraduate,No,1,Rural,0.241,0
L00093,Female,31,Middle-aged,Caucasian,32500.0,0.0,543,111800.0,120,9.5,Rent,Graduate,No,2,Rural,0.458,0
L00094,Female,52,Middle-aged,Caucasian,57100.0,56200.0,581,329000.0,360,7.4,Mortgage,Undergraduate,Yes,2,Semiurban,0.209,1
L00095,Female,47,Middle-aged,Hispanic,55500.0,0.0,684,258500.0,360,9.3,Rent,Graduate,No,2,Rural,0.335,1
L00096,Male,38,Middle-aged,Caucasian,29500.0,47000.0,599,244600.0,360,12.5,Own,Graduate,No,1,Semiurban,0.23,1
L00097,Male,40,Middle-aged,Asian,75800.0,30600.0,662,437700.0,360,4.8,Mortgage,Graduate,No,2,Urban,0.296,1
L00098,Male,32,Middle-aged,Caucasian,74500.0,23000.0,639,274600.0,360,6.7,Own,Undergraduate,No,1,Semiurban,0.203,1
L00099,Male,43,Middle-aged,African American,26900.0,0.0,635,115800.0,360,7.0,Own,Graduate,No,2,Rural,0.31,1
L00100,Male,50,Middle-aged,Caucasian,92900.0,15800.0,657,516500.0,360,12.6,Mortgage,Graduate,No,1,Semiurban,0.342,1
L00101,Male,21,Young,Hispanic,24600.0,21800.0,545,117500.0,180,6.4,Rent,Graduate,Yes,0,Urban,0.256,0
L00102,Female,44,Middle-aged,Caucasian,32500.0,0.0,566,104400.0,180,11.2,Mortgage,Graduate,No,1,Urban,0.325,1
L00103,Male,52,Middle-aged,Asian,59400.0,0.0,563,274000.0,360,6.8,Mortgage,Graduate,No,0,Semiurban,0.332,1
L00104,Male,36,Middle-aged,Caucasian,34800.0,50000.0,537,228000.0,180,8.8,Mortgage,Graduate,No,2,Rural,0.272,1
L00105,Female,49,Middle-aged,Caucasian,46300.0,0.0,611,207500.0,360,9.3,Rent,Graduate,Yes,3+,Urban,0.322,0
L00106,Male,74,Senior,African American,43200.0,34000.0,572,259300.0,180,11.5,Mortgage,Graduate,No,0,Semiurban,0.34,0
L00107,Male,39,Middle-aged,Caucasian,45500.0,0.0,534,237400.0,360,5.5,Own,Graduate,No,1,Rural,0.375,1
L00108,Female,45,Middle-aged,Caucasian,58100.0,0.0,699,290500.0,360,6.1,Mortgage,Graduate,No,0,Semiurban,0.36,1
L00109,Male,32,Middle-aged,Caucasian,44700.0,24400.0,620,261200.0,360,2.1,Own,Graduate,No,2,Urban,0.272,1
L00110,Male,43,Middle-aged,African American,43000.0,0.0,594,154300.0,360,4.7,Mortgage,Graduate,No,1,Rural,0.258,1
L00111,Male,46,Middle-aged,Hispanic,69800.0,35000.0,784,317500.0,360,4.5,Own,Graduate,No,1,Semiurban,0.218,1
L00112,Male,43,Middle-aged,Caucasian,67300.0,28900.0,542,412300.0,120,13.2,Rent,Graduate,No,0,Semiurban,0.571,0
L00113,Female,28,Young,Asian,57100.0,26900.0,669,308400.0,360,11.3,Rent,Graduate,Yes,2,Urban,0.264,1
L00114,Female,43,Middle-aged,Caucasian,26300.0,36000.0,601,217300.0,360,13.1,Mortgage,Undergraduate,No,0,Semiurban,0.251,0
L00115,Female,58,Senior,Caucasian,51400.0,28500.0,698,267200.0,360,14.5,Mortgage,Undergraduate,No,1,Rural,0.241,1
L00116,Female,46,Middle-aged,Hispanic,25900.0,0.0,619,83700.0,180,5.5,Mortgage,Graduate,No,1,Semiurban,0.327,0
L00117,Female,52,Middle-aged,Hispanic,22000.0,33800.0,506,150000.0,360,8.5,Rent,Undergraduate,No,1,Semiurban,0.193,0
L00118,Male,38,Middle-aged,Asian,47600.0,0.0,623,160100.0,360,14.9,Own,Graduate,Yes,0,Semiurban,0.242,1
L00119,Female,49,Middle-aged,Caucasian,29000.0,0.0,639,138000.0,360,11.8,Rent,Graduate,No,1,Semiurban,0.342,0
L00120,Male,44,Middle-aged,Caucasian,67300.0,0.0,511,308000.0,360,3.9,Mortgage,Undergraduate,No,2,Semiurban,0.329,1
L00121,Female,29,Young,Caucasian,57700.0,23900.0,729,225400.0,360,4.7,Mortgage,Graduate,No,0,Urban,0.199,1
L00122,Female,44,Middle-aged,Caucasian,20000.0,0.0,623,88000.0,360,4.0,Mortgage,Graduate,No,0,Urban,0.317,1
L00123,Male,29,Young,Caucasian,35200.0,0.0,634,174800.0,180,3.3,Mortgage,Graduate,No,0,Rural,0.503,0
L00124,Male,33,Middle-aged,Asian,27300.0,19400.0,524,172000.0,360,5.1,Mortgage,Graduate,No,3+,Urban,0.265,1
L00125,Male,43,Middle-aged,Hispanic,36700.0,0.0,658,152300.0,360,14.9,Own,Graduate,No,2,Urban,0.299,1
L00126,Male,44,Middle-aged,Caucasian,58800.0,16700.0,701,250600.0,180,9.2,Mortgage,Graduate,No,1,Urban,0.336,1
L00127,Female,26,Young,Caucasian,37800.0,15800.0,607,230900.0,180,3.5,Rent,Graduate,No,3+,Semiurban,0.436,0
L00128,Female,53,Middle-aged,Hispanic,29000.0,0.0,625,114600.0,360,8.6,Rent,Graduate,No,0,Urban,0.284,1
L00129,Male,47,Middle-aged,Caucasian,82500.0,0.0,605,406300.0,360,12.9,Mortgage,Graduate,No,1,Semiurban,0.354,1
L00130,Male,32,Middle-aged,African American,20000.0,9900.0,574,120400.0,360,3.9,Own,Graduate,No,1,Rural,0.29,1
L00131,Male,22,Young,Caucasian,80400.0,0.0,589,388900.0,360,5.4,Own,Graduate,Yes,3+,Rural,0.348,1
L00132,Male,39,Middle-aged,Caucasian,39400.0,0.0,647,205900.0,360,4.7,Rent,Undergraduate,No,0,Urban,0.376,1
L00133,Male,35,Middle-aged,Hispanic,42800.0,0.0,558,200500.0,360,5.8,Mortgage,Graduate,No,0,Urban,0.337,0
L00134,Male,42,Middle-aged,Caucasian,39700.0,0.0,651,122100.0,360,3.7,Rent,Graduate,No,0,Urban,0.221,1
L00135,Female,36,Middle-aged,Caucasian,77200.0,0.0,588,267300.0,360,12.3,Rent,Graduate,Yes,0,Urban,0.249,1
L00136,Male,18,Young,Caucasian,30000.0,0.0,558,92400.0,360,0.2,Mortgage,Graduate,No,0,Urban,0.222,0
L00137,Male,36,Middle-aged,Hispanic,44300.0,14000.0,649,177400.0,120,4.0,Rent,Graduate,No,0,Rural,0.405,1
L00138,Female,37,Middle-aged,Hispanic,45400.0,0.0,572,142500.0,180,4.9,Mortgage,Graduate,No,0,Semiurban,0.318,0
L00139,Male,48,Middle-aged,Caucasian,25700.0,13800.0,654,136500.0,360,9.4,Mortgage,Graduate,No,3+,Semiurban,0.249,1
L00140,Female,32,Middle-aged,Caucasian,28800.0,0.0,627,88200.0,180,8.5,Rent,Graduate,Yes,3+,Semiurban,0.31,1
L00141,Female,61,Senior,African American,30000.0,0.0,622,121900.0,360,6.9,Mortgage,Graduate,Yes,0,Semiurban,0.292,1
L00142,Male,18,Young,Caucasian,34400.0,17100.0,647,218600.0,360,0.2,Rent,Graduate,No,2,Rural,0.305,1
L00143,Male,56,Senior,African American,28300.0,48100.0,634,252700.0,360,13.7,Rent,Graduate,No,2,Rural,0.238,1
L00144,Male,38,Middle-aged,Caucasian,42600.0,20400.0,680,274000.0,360,9.2,Rent,Undergraduate,No,0,Urban,0.313,1
L00145,Male,51,Middle-aged,Caucasian,63600.0,24900.0,757,269800.0,360,13.9,Rent,Undergraduate,Yes,0,Semiurban,0.219,1
L00146,Male,41,Middle-aged,African American,34200.0,25300.0,597,200100.0,360,9.1,Own,Graduate,No,0,Semiurban,0.242,1
L00147,Female,54,Middle-aged,Caucasian,64100.0,0.0,693,238200.0,360,12.4,Mortgage,Undergraduate,No,0,Semiurban,0.267,1
L00148,Male,36,Middle-aged,Hispanic,29600.0,48700.0,562,228500.0,360,5.1,Rent,Undergraduate,No,2,Rural,0.21,1
L00149,Male,27,Young,Caucasian,29700.0,16500.0,525,163800.0,360,5.8,Mortgage,Graduate,No,0,Urban,0.255,0
L00150,Male,58,Senior,Caucasian,105900.0,19700.0,682,358700.0,360,14.2,Mortgage,Graduate,No,1,Rural,0.205,1
L00151,Female,39,Middle-aged,Hispanic,28300.0,20900.0,522,139000.0,360,4.1,Mortgage,Graduate,No,0,Urban,0.203,0
L00152,Male,43,Middle-aged,Caucasian,29000.0,38900.0,554,228100.0,360,6.5,Own,Graduate,Yes,0,Semiurban,0.242,1
L00153,Male,55,Middle-aged,African American,20000.0,0.0,656,94800.0,360,12.3,Mortgage,Graduate,No,0,Rural,0.341,1
L00154,Male,28,Young,Caucasian,75400.0,43100.0,594,421200.0,360,5.3,Mortgage,Undergraduate,No,0,Rural,0.256,1
L00155,Female,48,Middle-aged,African American,27800.0,27900.0,659,154000.0,360,10.2,Mortgage,Graduate,No,2,Semiurban,0.199,1
L00156,Male,33,Middle-aged,African American,35400.0,40800.0,618,223600.0,360,4.0,Rent,Graduate,Yes,2,Semiurban,0.211,1
L00157,Female,39,Middle-aged,Caucasian,39100.0,24100.0,723,167100.0,180,3.3,Mortgage,Undergraduate,No,0,Rural,0.268,1
L00158,Female,41,Middle-aged,Asian,62500.0,0.0,665,321500.0,360,3.6,Rent,Undergraduate,No,0,Semiurban,0.37,1
L00159,Male,22,Young,African American,36500.0,20200.0,652,234200.0,360,14.9,Mortgage,Undergraduate,Yes,2,Urban,0.297,1
L00160,Female,31,Middle-aged,Caucasian,106400.0,39700.0,678,401600.0,360,16.4,Rent,Undergraduate,No,0,Rural,0.198,1
L00161,Male,57,Senior,Caucasian,51700.0,28100.0,668,225000.0,360,7.0,Rent,Graduate,No,1,Semiurban,0.203,1
L00162,Female,51,Middle-aged,Caucasian,63700.0,0.0,720,274400.0,360,5.7,Own,Graduate,Yes,1,Semiurban,0.31,1
L00163,Female,40,Middle-aged,Caucasian,57500.0,15200.0,669,231100.0,360,3.4,Mortgage,Graduate,Yes,1,Rural,0.229,1
L00164,Male,43,Middle-aged,Caucasian,48300.0,0.0,638,246400.0,360,5.1,Rent,Graduate,Yes,0,Urban,0.367,0
L00165,Male,37,Middle-aged,Caucasian,38800.0,36300.0,621,273400.0,360,4.9,Rent,Graduate,No,3+,Semiurban,0.262,1
L00166,Female,57,Senior,Caucasian,47600.0,0.0,678,172100.0,120,7.2,Rent,Graduate,No,0,Semiurban,0.482,0
L00167,Male,38,Middle-aged,Asian,60100.0,19800.0,587,213000.0,360,11.0,Mortgage,Graduate,No,0,Rural,0.192,1
L00168,Male,43,Middle-aged,Caucasian,39000.0,0.0,575,187200.0,360,10.7,Rent,Graduate,No,0,Semiurban,0.345,0
L00169,Male,54,Middle-aged,Hispanic,47200.0,0.0,727,186600.0,180,5.8,Mortgage,Graduate,Yes,3+,Semiurban,0.4,1
L00170,Female,31,Middle-aged,Caucasian,68300.0,18700.0,736,348000.0,360,7.9,Own,Graduate,Yes,0,Semiurban,0.288,1
L00171,Female,59,Senior,Caucasian,95400.0,0.0,632,347800.0,360,9.8,Mortgage,Graduate,Yes,2,Urban,0.262,1
L00172,Male,22,Young,Asian,69000.0,34400.0,571,290100.0,360,1.3,Own,Graduate,No,0,Semiurban,0.202,1
L00173,Male,60,Senior,Caucasian,103300.0,21100.0,764,517700.0,180,13.0,Rent,Graduate,No,0,Semiurban,0.421,1
L00174,Male,36,Middle-aged,Caucasian,38100.0,26800.0,639,210300.0,180,3.1,Rent,Graduate,No,2,Urban,0.328,0
L00175,Female,38,Middle-aged,Caucasian,55200.0,0.0,664,194800.0,180,4.0,Rent,Undergraduate,No,2,Rural,0.357,0
L00176,Male,18,Young,Caucasian,83700.0,30700.0,670,331200.0,360,0.8,Mortgage,Graduate,No,2,Semiurban,0.208,1
L00177,Female,35,Middle-aged,Caucasian,29100.0,0.0,584,125300.0,360,16.5,Mortgage,Graduate,No,0,Semiurban,0.31,1
L00178,Male,28,Young,Hispanic,36300.0,14900.0,613,205000.0,360,7.5,Rent,Graduate,No,2,Urban,0.288,1
L00179,Female,33,Middle-aged,Caucasian,83500.0,26700.0,654,355700.0,180,4.9,Mortgage,Graduate,Yes,0,Urban,0.327,1
L00180,Male,39,Middle-aged,Hispanic,29900.0,0.0,553,139200.0,360,11.8,Rent,Graduate,No,0,Rural,0.335,0
L00181,Male,52,Middle-aged,African American,22900.0,0.0,638,78100.0,180,6.3,Rent,Undergraduate,No,0,Rural,0.345,0
L00182,Male,43,Middle-aged,Caucasian,90300.0,0.0,734,339700.0,120,17.1,Mortgage,Graduate,Yes,0,Rural,0.501,1
L00183,Female,44,Middle-aged,Caucasian,67300.0,43200.0,622,422400.0,360,9.9,Own,Graduate,Yes,1,Semiurban,0.275,1
L00184,Female,27,Young,Asian,49500.0,0.0,612,222000.0,360,5.5,Mortgage,Graduate,No,1,Rural,0.323,1
L00185,Male,30,Middle-aged,Hispanic,43300.0,13700.0,615,182600.0,360,9.7,Rent,Graduate,No,3+,Rural,0.23,1
L00186,Female,62,Senior,Caucasian,35000.0,27600.0,626,162800.0,360,11.8,Rent,Graduate,Yes,1,Urban,0.187,1
L00187,Female,32,Middle-aged,Caucasian,46600.0,14500.0,648,168200.0,360,13.0,Mortgage,Graduate,Yes,0,Semiurban,0.198,1
L00188,Female,60,Senior,Caucasian,78400.0,36700.0,634,478600.0,360,15.1,Mortgage,Graduate,No,2,Rural,0.299,1
L00189,Male,38,Middle-aged,Caucasian,53900.0,0.0,703,170800.0,180,4.1,Own,Graduate,No,0,Urban,0.321,1
L00190,Male,41,Middle-aged,Caucasian,116600.0,36500.0,715,443400.0,180,4.8,Rent,Graduate,No,0,Semiurban,0.293,1
L00191,Male,53,Middle-aged,Hispanic,30800.0,18500.0,570,143800.0,360,5.6,Mortgage,Undergraduate,No,0,Semiurban,0.21,1
L00192,Female,56,Senior,Caucasian,41300.0,66500.0,741,307300.0,360,6.9,Mortgage,Graduate,Yes,0,Semiurban,0.205,1
L00193,Female,39,Middle-aged,African American,27400.0,0.0,613,130900.0,360,5.3,Rent,Graduate,No,0,Semiurban,0.344,0
L00194,Female,36,Middle-aged,African American,20600.0,0.0,550,73300.0,180,2.8,Rent,Graduate,No,1,Semiurban,0.36,0
L00195,Male,40,Middle-aged,Caucasian,46100.0,0.0,686,194700.0,120,5.2,Mortgage,Graduate,No,0,Semiurban,0.563,1
L00196,Male,45,Middle-aged,Caucasian,57900.0,0.0,666,185500.0,360,11.4,Mortgage,Graduate,No,2,Urban,0.231,1
L00197,Female,51,Middle-aged,African American,39300.0,0.0,524,159000.0,360,14.1,Rent,Graduate,No,3+,Rural,0.291,0
L00198,Female,41,Middle-aged,Hispanic,87600.0,0.0,623,297800.0,360,3.5,Mortgage,Graduate,No,0,Semiurban,0.245,1
L00199,Female,48,Middle-aged,African American,38400.0,38300.0,642,204400.0,180,4.5,Mortgage,Graduate,No,2,Rural,0.27,1
L00200,Female,60,Senior,Caucasian,66000.0,0.0,536,252500.0,360,7.1,Own,Graduate,No,0,Urban,0.275,0
L00201,Female,45,Middle-aged,Caucasian,42800.0,31400.0,629,280600.0,360,14.4,Rent,Graduate,No,0,Urban,0.272,1
L00202,Male,44,Middle-aged,Caucasian,95900.0,0.0,675,448200.0,360,7.1,Rent,Undergraduate,No,2,Semiurban,0.336,1
