app_id,age,monthly_income,credit_history_length,credit_score,num_credit_lines,loan_amount,interest_rate,loan_purpose,employment_status,years_at_job,annual_income,dti_ratio,has_cosigner,previous_defaults,loan_grade,loan_approved
PL00025,53,19218.84,26,754,17,33630.57,8.54,Debt Consolidation,Self-Employed,9.1,230626.08000000002,0.637,Yes,1,B,0
PL00026,32,9304.5,11,694,4,25427.78,14.73,Other,Retired,4.2,111654.0,0.879,No,0,C,0
PL00027,42,2003.1,21,561,5,23921.7,18.21,Education,Self-Employed,0.6,24037.199999999997,0.296,No,0,D,0
PL00028,64,13755.97,30,690,1,25373.16,14.93,Debt Consolidation,Self-Employed,6.8,165071.63999999998,0.749,Yes,0,C,0
PL00029,45,3077.59,23,706,11,22414.18,9.63,Medical,Employed,7.9,36931.08,0.598,No,0,C,1
PL00030,69,8351.9,30,746,8,20251.72,7.57,Debt Consolidation,Retired,16.8,100222.79999999999,0.076,No,0,B,1
PL00031,47,18260.46,27,694,19,25484.84,11.06,Education,Employed,18.1,219125.52,0.414,No,1,C,1
PL00032,62,3441.86,30,741,11,26897.24,9.16,Education,Retired,0.5,41302.32,0.838,No,1,B,0
PL00033,48,21304.79,28,802,12,34903.21,9.48,Education,Employed,17.9,255657.48,0.315,No,0,A,1
PL00034,36,2087.86,12,635,16,35849.15,15.36,Home Improvement,Employed,15.7,25054.32,0.482,No,0,D,0
PL00035,35,7676.95,11,603,4,19503.82,14.71,Debt Consolidation,Employed,5.8,92123.4,0.489,No,0,D,0
PL00036,67,19040.79,30,748,19,21263.49,9.66,Other,Employed,16.1,228489.48,0.618,No,0,B,1
PL00037,64,9274.21,30,728,12,19311.16,9.69,Home Improvement,Employed,3.7,111290.51999999999,0.884,No,0,B,0
PL00038,23,4343.52,2,598,12,27290.25,14.85,Debt Consolidation,Employed,13.2,52122.240000000005,0.174,No,0,D,1
PL00039,57,10285.38,30,752,9,23214.32,9.3,Debt Consolidation,Employed,29.4,123424.56,0.505,No,0,B,1
PL00040,27,8219.05,1,558,14,44590.23,17.89,Debt Consolidation,Unemployed,0.0,98628.59999999999,0.424,No,0,D,0
PL00041,41,21382.37,30,654,14,35121.7,12.38,Debt Consolidation,Retired,7.3,256588.44,0.296,No,0,C,1
PL00042,29,9207.0,2,653,17,45034.16,12.4,Education,Retired,0.0,110484.0,0.92,No,0,C,0
PL00043,59,20145.45,30,734,17,35747.71,11.9,Debt Consolidation,Self-Employed,10.7,241745.40000000002,0.008,Yes,0,B,1
PL00044,38,22513.06,19,697,1,48578.62,12.8,Other,Employed,18.0,270156.72000000003,0.122,No,0,C,1
PL00045,24,11977.8,6,559,10,32151.1,20.11,Debt Consolidation,Employed,4.3,143733.59999999998,0.733,Yes,0,D,0
PL00046,45,22928.69,28,745,12,48213.96,9.21,Debt Consolidation,Employed,14.3,275144.27999999997,0.263,Yes,2,B,1
PL00047,34,10678.32,22,658,10,8750.32,11.55,Debt Consolidation,Retired,7.9,128139.84,0.723,No,0,C,0
PL00048,70,24173.8,30,833,3,3571.41,5.0,Debt Consolidation,Retired,6.8,290085.6,0.832,No,0,A,1
PL00049,29,4053.66,2,621,14,29377.13,17.46,Home Improvement,Self-Employed,13.9,48643.92,0.255,No,1,D,0
PL00050,46,17801.44,23,714,10,49191.17,7.98,Medical,Retired,0.0,213617.27999999997,0.192,No,0,C,1
PL00051,22,13357.72,2,709,17,21462.66,14.3,Debt Consolidation,Employed,8.5,160292.63999999998,0.145,Yes,0,C,1
PL00052,40,10915.92,29,608,15,11390.12,13.78,Home Improvement,Employed,17.9,130991.04000000001,0.2,No,0,D,0
PL00053,48,16552.37,20,745,9,26555.53,11.33,Home Improvement,Unemployed,0.0,198628.44,0.267,No,0,B,1
PL00054,67,18188.71,30,681,11,32791.13,10.64,Home Improvement,Employed,10.1,218264.52,0.869,No,0,C,0
PL00055,27,2100.36,6,562,12,16443.76,16.9,Home Improvement,Employed,8.9,25204.32,0.77,No,0,D,0
PL00056,64,5839.92,30,636,8,36023.7,10.61,Medical,Employed,25.3,70079.04000000001,0.002,Yes,0,D,1
PL00057,28,18400.06,6,727,20,48780.61,14.3,Education,Employed,13.1,220800.72000000003,0.874,No,0,B,1
PL00058,67,17326.86,30,757,12,44951.19,10.38,Debt Consolidation,Self-Employed,0.0,207922.32,0.079,Yes,0,B,1
PL00059,55,24219.09,30,770,5,15287.68,9.9,Debt Consolidation,Employed,3.1,290629.08,0.655,Yes,0,B,1
PL00060,34,19503.87,16,650,5,17009.46,13.11,Education,Employed,10.8,234046.44,0.151,No,0,D,1
PL00061,37,23867.77,20,718,10,19205.52,9.14,Home Improvement,Employed,20.1,286413.24,0.062,No,0,C,1
PL00062,56,18158.43,30,704,18,20333.09,13.19,Education,Employed,15.3,217901.16,0.76,No,0,C,0
PL00063,70,8855.2,30,743,10,5915.66,7.46,Other,Retired,17.9,106262.40000000001,0.467,No,0,B,1
PL00064,60,4423.39,30,632,9,38336.18,14.57,Debt Consolidation,Employed,1.0,53080.68000000001,0.599,No,0,D,0
PL00065,24,19981.95,7,754,14,18901.62,6.86,Medical,Employed,15.0,239783.40000000002,0.425,Yes,1,B,1
PL00066,22,16815.43,3,584,12,44111.18,17.34,Medical,Employed,4.1,201785.16,0.067,No,0,D,1
PL00067,26,3108.28,0,567,7,46420.09,14.03,Medical,Retired,9.0,37299.36,0.74,Yes,1,D,0
PL00068,62,10281.16,30,799,4,2197.13,5.0,Medical,Employed,16.8,123373.92,0.82,No,0,A,1
PL00069,24,24006.4,0,686,1,49436.65,10.73,Debt Consolidation,Unemployed,0.0,288076.80000000005,0.041,No,0,C,1
PL00070,49,13509.23,20,639,15,35791.11,15.82,Debt Consolidation,Employed,0.0,162110.76,0.376,No,0,D,1
PL00071,38,11952.77,12,686,12,26499.22,11.39,Other,Employed,7.1,143433.24,0.557,Yes,0,C,1
PL00072,46,12527.09,19,670,18,20086.85,15.15,Debt Consolidation,Self-Employed,11.0,150325.08000000002,0.605,Yes,2,C,0
PL00073,64,6804.3,30,660,8,26407.39,16.64,Education,Employed,15.5,81651.6,0.578,No,0,C,0
PL00074,54,10480.26,29,645,14,16906.61,13.7,Education,Employed,2.9,125763.12,0.693,No,0,D,0
PL00075,30,10505.7,0,790,5,31511.7,5.0,Debt Consolidation,Employed,5.6,126068.40000000001,0.967,Yes,1,A,0
PL00076,56,3204.17,30,655,7,5556.03,15.79,Home Improvement,Employed,11.7,38450.04,0.391,No,0,C,1
PL00077,34,19654.06,19,609,13,31435.01,12.87,Medical,Employed,14.4,235848.72000000003,0.557,No,0,D,0
PL00078,51,11579.6,26,774,4,14491.9,6.65,Other,Employed,11.6,138955.2,0.699,No,0,B,1
PL00079,68,20910.14,30,811,16,1864.11,5.0,Debt Consolidation,Employed,8.8,250921.68,0.592,Yes,0,A,1
PL00080,35,21558.0,16,679,6,28082.58,14.7,Education,Employed,4.1,258696.0,0.387,No,0,C,1
PL00081,28,6875.86,12,583,8,29343.94,18.28,Home Improvement,Self-Employed,17.1,82510.31999999999,0.624,No,2,D,0
PL00082,34,17119.13,8,727,15,21901.88,13.83,Other,Employed,19.7,205429.56,0.65,No,0,B,1
PL00083,43,12862.48,27,677,17,4542.03,11.98,Other,Employed,5.3,154349.76,0.585,No,0,C,0
PL00084,60,22243.6,30,674,12,44773.8,11.35,Medical,Employed,6.2,266923.19999999995,0.205,No,0,C,1
PL00085,41,6962.04,13,746,17,30960.11,8.68,Debt Consolidation,Employed,15.5,83544.48,0.506,Yes,0,B,1
PL00086,36,17589.7,18,678,9,6669.95,10.15,Debt Consolidation,Employed,11.3,211076.40000000002,0.884,Yes,0,C,0
PL00087,65,15978.3,30,824,0,26035.6,9.04,Home Improvement,Retired,14.7,191739.59999999998,0.869,Yes,0,A,1
PL00088,38,8791.93,29,723,20,25365.46,17.53,Home Improvement,Self-Employed,12.2,105503.16,0.751,No,0,B,0
PL00089,67,5141.82,30,649,17,3959.69,12.69,Medical,Employed,13.0,61701.84,0.697,No,0,D,0
PL00090,44,16987.71,26,764,18,30736.13,10.09,Debt Consolidation,Employed,6.7,203852.52,0.153,Yes,0,B,1
PL00091,46,18987.74,22,694,1,40607.99,11.78,Medical,Employed,0.0,227852.88,0.459,No,0,C,1
PL00092,45,9259.43,27,582,3,37701.39,18.07,Debt Consolidation,Unemployed,0.0,111113.16,0.111,No,0,D,1
PL00093,65,16831.15,30,732,10,10945.5,12.48,Education,Employed,15.5,201973.80000000002,0.817,No,0,B,1
PL00094,61,11088.01,30,737,2,43252.33,7.85,Debt Consolidation,Employed,12.3,133056.12,0.291,No,0,B,1
PL00095,49,18403.76,24,706,8,17784.57,10.59,Other,Employed,4.0,220845.12,0.767,No,1,C,0
PL00096,35,6581.95,14,627,9,47378.91,17.54,Debt Consolidation,Employed,5.4,78983.4,0.815,No,0,D,0
PL00097,65,22474.95,30,839,1,4515.65,6.52,Education,Employed,29.7,269699.4,0.892,No,0,A,1
PL00098,21,8610.42,3,630,6,24824.23,15.65,Debt Consolidation,Self-Employed,12.8,103325.04000000001,0.754,No,1,D,0
PL00099,45,10459.08,29,640,14,30259.09,15.56,Medical,Employed,0.0,125508.95999999999,0.565,No,0,D,0
PL00100,27,3336.11,8,645,18,13134.85,15.53,Education,Employed,5.4,40033.32,0.598,No,0,D,0
PL00101,29,4564.78,16,630,9,38797.63,17.32,Other,Employed,8.3,54777.36,0.321,Yes,0,D,1
PL00102,44,13864.82,25,571,19,31717.89,19.19,Debt Consolidation,Employed,0.1,166377.84,0.177,No,0,D,1
PL00103,21,8154.63,0,644,13,1887.36,14.26,Debt Consolidation,Employed,9.0,97855.56,0.131,No,3,D,0
PL00104,64,21216.05,30,793,3,30810.06,8.3,Home Improvement,Self-Employed,6.1,254592.59999999998,0.182,Yes,0,A,1
PL00105,28,2337.95,3,608,10,25082.43,15.87,Debt Consolidation,Employed,11.6,28055.399999999998,0.934,No,0,D,0
PL00106,44,10719.16,27,726,2,10605.43,9.14,Debt Consolidation,Employed,7.7,128629.92,0.164,No,0,B,1
PL00107,31,9758.95,17,617,16,49791.66,15.49,Education,Self-Employed,4.4,117107.40000000001,0.724,No,0,D,0
PL00108,37,2444.54,18,643,6,44960.95,14.18,Medical,Employed,7.3,29334.48,0.185,No,0,D,1
PL00109,28,4860.47,0,541,10,15332.88,15.65,Debt Consolidation,Employed,16.8,58325.64,0.975,No,2,E,0
PL00110,55,11513.78,29,727,17,27512.48,12.14,Debt Consolidation,Employed,10.5,138165.36000000002,0.367,Yes,0,B,1
PL00111,55,13335.89,30,814,13,16508.6,8.53,Home Improvement,Self-Employed,8.3,160030.68,0.412,No,0,A,1
PL00112,53,11298.66,30,652,13,38999.29,15.09,Education,Employed,12.8,135583.91999999998,0.405,No,0,C,1
PL00113,25,14211.57,4,623,5,46586.24,17.09,Debt Consolidation,Employed,10.0,170538.84,0.816,Yes,0,D,0
PL00114,62,15688.03,30,706,8,18582.6,11.19,Debt Consolidation,Employed,1.1,188256.36000000002,0.218,No,0,C,1
PL00115,59,2228.25,30,675,2,40473.63,11.93,Medical,Employed,15.5,26739.0,0.831,No,1,C,0
PL00116,61,12674.19,30,672,16,25421.97,14.99,Debt Consolidation,Self-Employed,5.0,152090.28,0.657,No,0,C,1
PL00117,48,24160.48,25,777,11,20432.35,6.2,Home Improvement,Employed,7.3,289925.76,0.22,No,0,B,1
PL00118,27,13937.74,4,706,3,46982.67,9.36,Medical,Retired,0.0,167252.88,0.065,No,0,C,1
PL00119,29,17583.47,12,712,19,26009.83,12.17,Education,Employed,16.6,211001.64,0.775,No,0,C,1
PL00120,28,9172.87,9,553,15,23903.11,19.34,Other,Employed,11.0,110074.44,0.219,No,0,D,0
PL00121,32,19801.8,9,752,9,33949.29,11.31,Debt Consolidation,Self-Employed,12.3,237621.59999999998,0.889,No,0,B,0
PL00122,54,19777.19,30,793,6,13800.48,5.0,Debt Consolidation,Employed,16.5,237326.27999999997,0.13,No,0,A,1
PL00123,53,13989.81,30,757,9,16914.85,9.03,Medical,Employed,16.6,167877.72,0.616,No,0,B,1
PL00124,68,24448.32,30,816,6,46670.25,5.0,Education,Employed,4.4,293379.83999999997,0.692,No,0,A,1
PL00125,43,4887.65,18,661,17,34247.96,15.3,Debt Consolidation,Employed,10.1,58651.799999999996,0.658,No,0,C,1
PL00126,44,2389.8,18,691,8,41505.22,14.89,Debt Consolidation,Employed,9.3,28677.600000000002,0.316,Yes,0,C,1
PL00127,57,19713.64,30,848,17,14284.48,6.1,Debt Consolidation,Retired,8.6,236563.68,0.876,No,0,A,1
PL00128,55,20564.58,30,705,16,27645.72,10.48,Debt Consolidation,Self-Employed,3.6,246774.96000000002,0.77,No,0,C,1
PL00129,64,4764.77,30,745,10,48598.42,8.28,Medical,Retired,21.4,57177.240000000005,0.51,Yes,0,B,1
PL00130,60,8108.41,30,696,0,16616.49,11.18,Medical,Unemployed,0.0,97300.92,0.603,No,0,C,0
PL00131,42,2403.7,17,629,16,8863.35,13.36,Education,Employed,13.5,28844.399999999998,0.566,No,1,D,0
PL00132,47,8746.1,24,600,3,26033.41,16.05,Debt Consolidation,Employed,20.9,104953.20000000001,0.947,No,1,D,0
PL00133,55,19782.26,26,734,3,20003.23,8.77,Debt Consolidation,Employed,13.8,237387.12,0.896,No,0,B,1
PL00134,21,13913.09,0,601,13,8819.28,13.55,Debt Consolidation,Retired,7.6,166957.08000000002,0.235,Yes,0,D,1
PL00135,55,10006.2,30,676,8,44539.02,13.67,Debt Consolidation,Employed,6.6,120074.40000000001,0.263,Yes,0,C,1
PL00136,57,10550.0,30,651,12,49545.47,14.96,Debt Consolidation,Employed,13.1,126600.0,0.981,No,0,C,0
PL00137,67,2031.13,30,661,15,28860.53,16.99,Debt Consolidation,Employed,0.0,24373.56,0.237,Yes,0,C,1
PL00138,34,8895.41,7,632,0,38959.16,14.04,Education,Employed,16.9,106744.92,0.953,No,0,D,0
PL00139,23,16868.55,7,675,2,43092.88,9.17,Home Improvement,Employed,0.0,202422.59999999998,0.65,No,0,C,1
PL00140,21,24406.47,1,623,18,35348.12,16.95,Debt Consolidation,Employed,18.8,292877.64,0.05,Yes,0,D,1
PL00141,25,21482.4,4,625,7,3163.65,17.08,Other,Retired,14.0,257788.80000000002,0.336,Yes,0,D,0
PL00142,46,2542.68,24,662,17,8724.08,15.83,Home Improvement,Employed,25.6,30512.159999999996,0.476,No,2,C,0
PL00143,34,22666.89,10,681,5,4478.47,15.62,Other,Unemployed,0.0,272002.68,0.833,No,0,C,0
PL00144,59,20013.56,30,811,19,1484.1,9.74,Home Improvement,Employed,15.2,240162.72000000003,0.329,Yes,0,A,1
PL00145,47,19948.65,28,745,5,15993.82,7.82,Medical,Retired,15.6,239383.80000000002,0.311,Yes,0,B,1
PL00146,29,12533.9,0,691,4,20225.44,15.32,Education,Employed,2.9,150406.8,0.92,No,0,C,0
PL00147,35,11154.12,11,736,11,12810.46,9.53,Debt Consolidation,Self-Employed,1.5,133849.44,0.079,No,0,B,1
PL00148,35,8967.06,12,639,8,4165.63,16.19,Medical,Employed,2.5,107604.72,0.552,No,0,D,1
PL00149,46,3510.98,26,620,8,26963.29,15.97,Medical,Employed,9.7,42131.76,0.504,No,0,D,0
PL00150,62,7249.41,30,743,16,14392.65,7.92,Education,Retired,9.9,86992.92,0.057,No,0,B,1
PL00151,33,7671.88,8,669,18,40005.82,15.55,Medical,Employed,10.3,92062.56,0.088,No,0,C,1
PL00152,52,13133.77,28,700,16,1394.58,10.91,Education,Employed,14.0,157605.24,0.382,Yes,0,C,1
PL00153,59,19191.22,30,823,15,42283.83,9.94,Education,Employed,4.1,230294.64,0.134,No,0,A,1
PL00154,69,12897.63,30,731,11,47782.93,8.88,Debt Consolidation,Employed,16.7,154771.56,0.478,No,0,B,1
PL00155,52,3330.42,29,662,2,36090.62,11.54,Medical,Employed,13.4,39965.04,0.609,Yes,0,C,0
PL00156,24,24029.17,6,709,13,36948.56,10.08,Home Improvement,Employed,22.6,288350.04,0.691,Yes,0,C,1
PL00157,50,23682.66,23,711,16,46744.55,14.31,Home Improvement,Employed,13.4,284191.92,0.546,Yes,0,C,1
PL00158,57,20059.36,30,758,15,11244.49,6.05,Home Improvement,Employed,9.4,240712.32,0.38,No,0,B,1
PL00159,43,24800.54,13,819,20,49733.71,8.24,Debt Consolidation,Retired,27.2,297606.48,0.13,No,0,A,1
PL00160,59,14523.09,30,752,11,38900.58,13.12,Other,Employed,9.3,174277.08000000002,0.247,Yes,0,B,1
PL00161,65,24143.67,30,792,1,36601.96,7.3,Debt Consolidation,Employed,12.3,289724.04,0.419,No,0,A,1
PL00162,35,3738.92,22,620,7,18693.44,14.67,Home Improvement,Employed,13.5,44867.04,0.924,No,0,D,0
PL00163,63,10410.66,30,734,11,27743.1,10.43,Debt Consolidation,Employed,17.4,124927.92,0.203,No,0,B,1
PL00164,49,7183.77,16,711,20,33041.97,9.07,Education,Employed,10.7,86205.24,0.413,No,1,C,1
PL00165,56,6504.16,25,714,15,31396.8,16.48,Medical,Employed,30.0,78049.92,0.732,No,0,C,0
PL00166,33,5238.47,12,615,7,35544.25,17.02,Medical,Retired,5.4,62861.64,0.705,No,1,D,0
PL00167,52,16315.51,30,741,15,5036.71,7.51,Education,Self-Employed,21.9,195786.12,0.966,No,0,B,0
PL00168,27,19970.4,7,717,9,18426.77,9.43,Medical,Employed,0.0,239644.80000000002,0.191,No,0,C,1
PL00169,42,15300.86,21,650,19,22266.0,14.45,Education,Employed,2.1,183610.32,0.017,No,0,D,1
PL00170,48,5380.14,30,671,14,13770.84,10.55,Debt Consolidation,Employed,0.0,64561.68000000001,0.322,No,0,C,1
PL00171,22,20655.85,0,579,3,9458.74,14.31,Medical,Unemployed,0.0,247870.19999999998,0.15,Yes,0,D,1
PL00172,62,16626.96,30,771,14,7807.45,9.18,Debt Consolidation,Unemployed,0.0,199523.52,0.548,No,0,B,1
PL00173,65,10927.81,30,757,3,18952.79,11.24,Medical,Employed,10.9,131133.72,0.899,Yes,0,B,1
PL00174,26,17505.0,0,716,10,25178.64,12.92,Debt Consolidation,Employed,2.9,210060.0,0.688,No,0,C,1
PL00175,48,7977.81,17,656,5,4085.85,13.7,Education,Employed,22.1,95733.72,0.136,No,0,C,1
PL00176,48,9939.42,25,701,3,47376.45,11.22,Education,Employed,14.0,119273.04000000001,0.116,No,0,C,1
PL00177,64,23102.17,30,850,8,38496.92,5.1,Debt Consolidation,Employed,10.5,277226.04,0.911,Yes,0,A,1
PL00178,64,8681.6,30,782,8,36811.74,10.08,Education,Employed,12.1,104179.20000000001,0.488,No,0,A,1
PL00179,40,12809.73,19,682,2,9470.17,10.12,Medical,Employed,15.2,153716.76,0.924,Yes,0,C,0
PL00180,50,22473.25,24,759,4,30586.24,7.58,Other,Employed,19.5,269679.0,0.736,No,0,B,1
PL00181,31,18277.59,9,748,14,26956.52,8.88,Home Improvement,Employed,6.0,219331.08000000002,0.993,No,0,B,0
PL00182,48,3430.67,19,578,8,49140.97,16.88,Medical,Self-Employed,4.5,41168.04,0.871,No,0,D,0
PL00183,45,5387.97,30,640,1,37635.92,14.44,Education,Employed,13.3,64655.64,0.414,No,0,D,1
PL00184,59,2180.36,30,735,2,29212.33,10.18,Debt Consolidation,Employed,22.6,26164.32,0.758,No,0,B,1
PL00185,53,16511.2,29,777,20,42689.82,9.67,Debt Consolidation,Self-Employed,0.0,198134.40000000002,0.471,No,1,B,1
PL00186,21,12296.49,7,661,11,8599.62,10.07,Debt Consolidation,Employed,13.2,147557.88,0.233,No,0,C,1
PL00187,47,5088.32,19,584,15,1745.61,13.89,Home Improvement,Employed,20.3,61059.84,0.241,No,0,D,0
PL00188,33,24032.48,6,723,4,34821.43,9.44,Debt Consolidation,Employed,14.9,288389.76,0.397,No,0,B,1
PL00189,61,14182.17,30,703,9,5817.26,13.41,Education,Employed,12.7,170186.04,0.111,No,0,C,1
PL00190,23,7563.55,1,640,14,6656.25,13.24,Debt Consolidation,Employed,14.3,90762.6,0.178,No,0,D,1
PL00191,59,13513.88,30,685,13,37489.36,12.42,Debt Consolidation,Self-Employed,24.4,162166.56,0.501,No,0,C,1
PL00192,26,17631.27,8,628,13,14256.21,15.35,Debt Consolidation,Employed,16.4,211575.24,0.954,No,0,D,0
PL00193,28,3753.5,19,511,12,31802.93,21.04,Medical,Employed,0.0,45042.0,0.578,No,0,E,0
PL00194,47,8318.19,14,736,15,45952.94,13.31,Education,Self-Employed,9.3,99818.28,0.408,No,0,B,1
PL00195,29,20560.21,11,680,7,16507.25,14.12,Medical,Employed,10.7,246722.52,0.243,No,0,C,1
PL00196,57,12572.29,30,724,7,11640.06,12.72,Education,Employed,18.2,150867.48,0.196,No,1,B,1
PL00197,53,14571.27,29,718,16,6221.58,10.75,Home Improvement,Employed,10.7,174855.24,0.658,No,0,C,1
PL00198,62,11954.77,30,670,16,7392.66,16.13,Home Improvement,Employed,10.1,143457.24,0.848,No,2,C,0
PL00199,64,3009.7,30,620,2,4048.91,15.6,Home Improvement,Employed,10.3,36116.399999999994,0.399,No,2,D,0
PL00200,44,5812.24,30,606,0,5294.48,12.18,Education,Retired,11.9,69746.88,0.551,No,0,D,0
PL00201,35,12247.46,18,635,16,22168.22,19.69,Debt Consolidation,Employed,9.3,146969.52,0.707,Yes,2,D,0
PL00202,52,6811.27,30,696,15,16722.39,12.09,Other,Employed,6.6,81735.24,0.058,Yes,1,C,1
PL00203,52,3149.52,30,619,16,35621.48,16.56,Debt Consolidation,Unemployed,0.0,37794.24,0.351,Yes,0,D,0
PL00204,44,21403.94,15,822,1,43641.84,5.0,Debt Consolidation,Employed,12.4,256847.27999999997,0.73,Yes,1,A,1
PL00205,61,24567.43,30,836,13,39453.89,10.03,Education,Employed,15.0,294809.16000000003,0.685,Yes,0,A,1
PL00206,69,20242.29,30,819,6,27001.23,5.0,Medical,Self-Employed,30.0,242907.48,0.053,No,0,A,1
PL00207,69,21637.05,30,780,18,6019.66,7.41,Debt Consolidation,Self-Employed,0.0,259644.59999999998,0.238,No,0,B,1
PL00208,32,7565.47,11,717,0,35778.6,7.99,Medical,Employed,14.7,90785.64,0.68,No,0,C,1
PL00209,59,24094.42,30,767,16,18778.61,9.5,Education,Retired,21.8,289133.04,0.271,No,0,B,1
PL00210,22,6529.29,1,615,9,5196.87,15.12,Education,Employed,3.8,78351.48,0.814,No,2,D,0
PL00211,23,23882.89,0,713,5,42280.85,8.14,Education,Self-Employed,15.5,286594.68,0.03,Yes,3,C,1
PL00212,69,24880.84,30,837,6,17572.61,5.46,Education,Unemployed,0.0,298570.08,0.19,No,0,A,1
PL00213,57,18369.62,30,777,5,11694.19,8.51,Debt Consolidation,Employed,5.9,220435.44,0.281,No,0,B,1
PL00214,69,24566.31,30,777,4,43701.15,7.82,Debt Consolidation,Employed,4.1,294795.72000000003,0.925,Yes,1,B,1
PL00215,37,15099.41,6,662,1,45204.56,9.9,Debt Consolidation,Employed,9.3,181192.91999999998,0.796,No,0,C,0
PL00216,69,7969.46,30,749,17,17609.57,10.17,Medical,Self-Employed,9.0,95633.52,0.884,Yes,1,B,0
PL00217,22,12050.91,0,680,16,18385.27,10.19,Education,Self-Employed,16.0,144610.91999999998,0.44,Yes,0,C,1
PL00218,22,15651.9,0,642,6,29401.8,16.23,Education,Employed,0.0,187822.8,0.823,No,1,D,0
PL00219,48,3680.88,29,575,20,36938.63,16.39,Education,Self-Employed,16.8,44170.56,0.853,No,0,D,0
PL00220,43,16313.9,22,697,18,4094.31,13.81,Education,Self-Employed,16.6,195766.8,0.4,No,2,C,0
PL00221,57,24567.09,30,808,6,30073.84,6.94,Debt Consolidation,Self-Employed,12.5,294805.08,0.994,No,1,A,0
PL00222,52,6372.48,30,766,6,47688.18,8.95,Debt Consolidation,Self-Employed,28.3,76469.76,0.851,No,1,B,0
PL00223,53,20229.69,24,687,15,13842.6,14.96,Home Improvement,Employed,19.9,242756.27999999997,0.974,No,0,C,0
PL00224,21,22881.67,5,675,11,45532.53,11.32,Education,Employed,6.0,274580.04,0.866,No,1,C,0
PL00225,39,23705.14,16,717,14,47558.25,8.85,Medical,Self-Employed,0.5,284461.68,0.776,No,0,C,0
PL00226,22,24083.12,6,772,14,14188.53,9.66,Education,Retired,4.5,288997.44,0.944,No,0,B,1
PL00227,64,13993.57,30,736,10,37955.89,7.55,Home Improvement,Employed,5.4,167922.84,0.42,No,0,B,1
PL00228,46,24478.08,22,709,1,12699.98,9.81,Education,Employed,0.0,293736.96,0.783,No,0,C,1
PL00229,52,19418.13,27,769,2,37142.95,5.52,Debt Consolidation,Self-Employed,14.0,233017.56,0.213,No,1,B,1
