application_id,annual_income,monthly_debt,fico_score,requested_amount,property_value,employment_length,loan_purpose,home_type,marital_status,num_dependents,education_level,loan_term_years,down_payment_pct,existing_mortgages,loan_approved
HL00037,108768.79,1282.32,595,82673.14,94917.5,6,Purchase,Single Family,Married,1,High School,30,0.129,0,0
HL00038,51859.83,1776.6,607,800000.0,1044495.57,24,Purchase,Condo,Divorced,5,High School,30,0.096,3,0
HL00039,213164.08,3369.97,653,228777.6,271063.51,29,Home Improvement,Condo,Single,4,High School,30,0.156,3,1
HL00040,146041.94,312.82,550,725816.33,774617.21,33,Purchase,Single Family,Single,3,Bachelor,30,0.063,1,1
HL00041,58560.51,1052.53,583,82267.62,103092.26,40,Refinance,Multi Family,Divorced,5,High School,30,0.202,1,0
HL00042,161173.65,4045.12,683,470426.97,524444.78,10,Purchase,Single Family,Divorced,0,Bachelor,30,0.103,1,1
HL00043,34456.84,734.61,565,800000.0,1184205.34,14,Refinance,Multi Family,Single,2,Bachelor,20,0.16,2,0
HL00044,275063.11,1713.23,726,153071.88,188280.3,34,Refinance,Single Family,Single,5,Master,30,0.187,2,1
HL00045,96164.49,4323.29,545,426980.82,551654.8,22,Refinance,Single Family,Divorced,3,Bachelor,30,0.226,0,0
HL00046,207193.63,774.63,652,330547.34,420543.69,20,Purchase,Single Family,Married,3,High School,30,0.214,1,1
HL00047,110720.55,413.68,574,800000.0,1093224.14,27,Refinance,Multi Family,Divorced,4,High School,15,0.164,0,0
HL00048,168018.71,2422.69,671,800000.0,1053007.62,12,Purchase,Single Family,Single,5,Bachelor,30,0.115,2,1
HL00049,175345.33,1512.1,639,294131.14,342411.11,33,Home Improvement,Multi Family,Married,5,High School,30,0.141,0,1
HL00050,75834.98,2817.04,622,133235.34,166336.26,37,Refinance,Condo,Married,4,High School,30,0.199,0,1
HL00051,291635.77,4019.02,750,606472.35,780530.69,5,Purchase,Single Family,Divorced,2,PhD,30,0.223,1,1
HL00052,238161.53,685.74,703,429383.82,453414.8,3,Home Improvement,Single Family,Divorced,4,High School,20,0.053,1,1
HL00053,283362.21,2903.5,705,735519.02,831094.94,4,Refinance,Single Family,Single,3,High School,30,0.115,0,1
HL00054,271077.52,2527.54,635,88796.65,111134.73,39,Refinance,Single Family,Married,2,Master,15,0.201,2,1
HL00055,189422.49,720.39,644,196939.87,225074.14,5,Purchase,Single Family,Single,2,High School,20,0.125,0,1
HL00056,278515.41,3119.99,662,759910.38,847168.76,20,Home Improvement,Townhouse,Married,1,High School,30,0.103,2,1
HL00057,49335.44,1368.2,557,276246.95,313916.99,27,Refinance,Single Family,Married,3,High School,15,0.12,0,0
HL00058,78895.29,2439.17,570,800000.0,1039786.14,2,Refinance,Townhouse,Divorced,3,Bachelor,30,0.163,0,0
HL00059,37437.5,411.36,519,105686.06,140914.75,22,Home Improvement,Single Family,Single,4,PhD,30,0.25,1,0
HL00060,114465.84,2297.92,509,273613.65,317417.23,7,Purchase,Single Family,Single,3,Bachelor,30,0.138,0,0
HL00061,131886.25,1532.32,582,800000.0,1198380.28,18,Purchase,Single Family,Single,5,High School,30,0.076,2,1
HL00062,99620.98,4111.91,609,525104.72,562210.62,10,Purchase,Condo,Single,4,High School,30,0.066,0,0
HL00063,252902.82,284.89,609,800000.0,865836.37,9,Purchase,Single Family,Single,3,Bachelor,30,0.039,0,1
HL00064,123107.16,2093.04,612,237580.05,280495.93,27,Refinance,Multi Family,Divorced,5,Bachelor,15,0.153,2,1
HL00065,102256.99,2292.16,696,646936.98,761102.33,19,Purchase,Single Family,Married,1,Bachelor,30,0.15,0,1
HL00066,174241.42,3625.03,688,800000.0,891869.33,27,Purchase,Multi Family,Married,3,Bachelor,30,0.075,0,1
HL00067,63754.16,2871.44,664,350318.34,428786.22,28,Purchase,Townhouse,Divorced,1,PhD,30,0.183,0,1
HL00068,245604.17,3336.06,692,800000.0,1007509.25,7,Purchase,Condo,Divorced,3,High School,15,0.193,0,1
HL00069,45501.43,3885.25,631,688260.28,753844.78,18,Purchase,Single Family,Married,3,High School,30,0.087,2,0
HL00070,296393.91,4311.01,661,458410.47,512763.39,20,Purchase,Single Family,Single,0,Master,15,0.106,3,1
HL00071,237367.31,1569.38,636,528165.46,702347.69,17,Purchase,Condo,Single,5,High School,30,0.248,2,1
HL00072,79646.81,2690.11,452,642784.08,723855.95,8,Refinance,Single Family,Married,3,High School,30,0.112,2,0
HL00073,26518.58,4200.54,622,209765.44,261227.2,3,Refinance,Condo,Married,1,Bachelor,30,0.197,3,0
HL00074,249251.89,4947.26,751,459424.31,528073.92,40,Purchase,Condo,Married,2,High School,30,0.13,2,1
HL00075,219385.77,4447.6,632,366780.73,461359.41,24,Purchase,Single Family,Married,1,High School,15,0.205,0,1
HL00076,225476.97,1857.34,650,421338.46,526015.56,33,Purchase,Single Family,Divorced,5,Master,30,0.199,2,1
HL00077,237099.35,975.83,630,766418.26,931249.41,8,Purchase,Single Family,Married,3,High School,30,0.177,0,1
HL00078,45362.28,2446.96,591,483163.17,617855.71,8,Home Improvement,Single Family,Divorced,4,Bachelor,15,0.218,1,0
HL00079,123578.08,3708.21,668,800000.0,1132855.67,17,Purchase,Townhouse,Divorced,0,High School,30,0.237,0,1
HL00080,56863.99,2462.85,491,341334.99,405385.97,10,Purchase,Condo,Single,4,Master,30,0.158,0,0
HL00081,262353.44,2415.9,701,498167.87,542666.53,12,Purchase,Single Family,Single,0,High School,30,0.082,2,1
HL00082,196406.98,4191.15,634,800000.0,960326.41,37,Home Improvement,Townhouse,Married,0,Bachelor,30,0.118,2,1
HL00083,115996.96,1807.02,613,553489.97,689277.67,8,Purchase,Single Family,Married,4,High School,20,0.197,2,1
HL00084,42478.55,4298.97,594,570966.31,690406.66,15,Purchase,Single Family,Married,5,Bachelor,20,0.173,1,0
HL00085,110520.14,2034.02,595,125692.15,135007.68,3,Purchase,Single Family,Single,3,Bachelor,30,0.069,3,0
HL00086,114425.41,1641.17,602,501964.21,523424.62,33,Purchase,Multi Family,Divorced,1,High School,20,0.041,0,1
HL00087,225641.7,2269.95,652,311251.87,379575.45,6,Refinance,Multi Family,Single,4,High School,30,0.18,3,1
HL00088,200328.3,3812.23,698,800000.0,1199252.01,14,Purchase,Single Family,Divorced,2,Bachelor,20,0.085,3,1
HL00089,268983.5,630.01,705,362833.53,421899.45,37,Refinance,Single Family,Married,0,High School,30,0.14,1,1
HL00090,154859.1,982.1,638,800000.0,1070058.6,10,Purchase,Single Family,Single,1,PhD,15,0.194,0,1
HL00091,57888.42,4757.22,515,707055.46,835762.95,31,Purchase,Condo,Single,2,High School,30,0.154,0,0
HL00092,221142.32,877.46,641,436521.47,458530.96,26,Purchase,Single Family,Single,1,Bachelor,15,0.048,1,1
HL00093,234215.89,2838.64,712,637736.37,686476.18,29,Refinance,Single Family,Single,3,Master,30,0.071,1,1
HL00094,179351.23,2896.57,641,800000.0,1020602.86,16,Purchase,Condo,Married,2,High School,30,0.078,0,1
HL00095,237015.97,2448.12,701,800000.0,1068789.34,35,Purchase,Single Family,Single,5,High School,30,0.087,1,1
HL00096,160793.79,3223.73,718,216104.87,255443.11,18,Purchase,Single Family,Married,5,High School,30,0.154,2,1
HL00097,168751.53,1149.13,686,392579.99,457019.78,6,Refinance,Single Family,Single,4,PhD,30,0.141,0,1
HL00098,142573.78,2763.31,625,418216.62,452126.08,20,Refinance,Condo,Single,1,Bachelor,30,0.075,3,1
HL00099,31990.26,1860.87,540,116796.88,122300.4,27,Refinance,Multi Family,Married,5,Bachelor,30,0.045,2,0
HL00100,54670.14,3308.34,449,697152.29,748017.48,2,Purchase,Single Family,Married,5,High School,30,0.068,3,0
HL00101,33643.03,706.12,558,780614.44,1036672.56,13,Purchase,Single Family,Married,4,High School,30,0.247,1,0
HL00102,200012.86,2854.39,633,437203.12,504271.19,1,Purchase,Single Family,Single,4,Bachelor,15,0.133,3,1
HL00103,111447.89,926.35,625,706974.0,907540.44,28,Purchase,Single Family,Single,5,PhD,30,0.221,2,1
HL00104,164856.94,1393.22,624,611650.61,781162.97,17,Refinance,Single Family,Single,1,High School,20,0.217,1,1
HL00105,274580.78,1093.55,671,426447.34,497604.83,36,Refinance,Single Family,Married,1,Bachelor,30,0.143,2,1
HL00106,93555.36,914.19,507,190459.2,233692.27,23,Refinance,Single Family,Single,0,High School,30,0.185,1,0
HL00107,137855.3,4128.55,571,800000.0,872989.33,11,Purchase,Condo,Married,0,Bachelor,30,0.072,0,0
HL00108,232776.56,1428.54,690,800000.0,1036385.82,31,Refinance,Single Family,Divorced,2,High School,20,0.181,3,1
HL00109,87919.5,4635.62,679,770393.53,846586.3,17,Home Improvement,Multi Family,Single,2,Bachelor,30,0.09,3,1
HL00110,46169.48,4849.63,568,74854.16,95113.29,12,Purchase,Single Family,Divorced,2,Master,30,0.213,0,0
HL00111,104681.65,2856.3,618,302985.43,318262.01,3,Purchase,Single Family,Single,0,Bachelor,30,0.048,0,0
HL00112,69335.85,715.01,632,122531.98,153164.98,22,Purchase,Single Family,Married,4,Master,20,0.2,3,1
HL00113,280666.85,1872.74,649,679416.77,716684.36,9,Purchase,Single Family,Married,5,High School,15,0.052,0,1
HL00114,247233.1,3988.66,691,718605.01,926037.39,4,Refinance,Townhouse,Single,3,PhD,30,0.224,1,1
HL00115,199186.03,1836.95,612,180059.64,199401.59,39,Purchase,Condo,Divorced,3,Master,30,0.097,3,1
HL00116,264651.66,435.09,725,800000.0,1018130.05,13,Purchase,Single Family,Married,5,High School,30,0.174,2,1
HL00117,246009.82,2783.92,680,604054.78,699947.6,33,Purchase,Condo,Single,1,Bachelor,30,0.137,0,1
HL00118,76306.77,4225.6,603,756730.26,851215.14,27,Purchase,Multi Family,Married,0,Master,15,0.111,1,0
HL00119,270453.72,3979.63,646,800000.0,1167827.08,7,Purchase,Single Family,Divorced,1,High School,30,0.172,3,1
HL00120,173319.12,875.62,672,128885.53,169141.11,15,Home Improvement,Single Family,Divorced,3,Bachelor,20,0.238,3,1
HL00121,247046.04,3363.82,777,800000.0,1088877.03,30,Purchase,Single Family,Single,1,Bachelor,15,0.039,1,1
HL00122,271425.11,1102.52,635,166552.73,216865.53,6,Refinance,Townhouse,Married,0,High School,30,0.232,0,1
HL00123,112450.96,1091.04,589,432277.76,517078.66,2,Refinance,Single Family,Single,0,Bachelor,30,0.164,3,0
HL00124,55264.28,4370.36,589,800000.0,1032868.53,28,Purchase,Single Family,Married,0,High School,30,0.208,0,0
HL00125,87682.17,1248.34,633,800000.0,1094536.02,35,Home Improvement,Single Family,Married,3,High School,30,0.114,1,1
HL00126,142454.64,1316.24,593,558282.6,644668.13,38,Purchase,Single Family,Single,0,Bachelor,30,0.134,2,1
HL00127,249954.06,3.27,533,579083.45,743367.72,3,Refinance,Condo,Married,2,Bachelor,30,0.221,1,1
HL00128,261700.91,4353.35,748,766194.19,871665.75,8,Refinance,Single Family,Divorced,2,Master,30,0.121,0,1
HL00129,26911.84,3962.97,601,800000.0,1011853.5,16,Purchase,Single Family,Married,5,Bachelor,30,0.148,3,0
HL00130,165455.51,3136.64,545,204502.27,211700.07,19,Purchase,Multi Family,Married,0,Bachelor,30,0.034,0,0
HL00131,139788.03,3751.33,589,800000.0,986327.97,13,Refinance,Single Family,Single,2,Bachelor,20,0.065,0,0
HL00132,86079.65,760.24,671,511025.17,616435.67,28,Purchase,Single Family,Divorced,0,Bachelor,30,0.171,2,1
HL00133,57962.98,2291.62,651,472544.5,581951.35,12,Purchase,Condo,Single,3,Master,30,0.188,3,0
HL00134,117844.17,1756.1,655,464689.04,551887.22,35,Refinance,Condo,Married,2,Bachelor,30,0.158,2,1
HL00135,284300.17,468.88,683,607695.52,647863.03,16,Refinance,Single Family,Married,3,Bachelor,30,0.062,2,1
HL00136,113880.81,2430.65,611,800000.0,1138181.87,3,Purchase,Single Family,Married,2,High School,20,0.128,1,0
HL00137,167667.42,4603.7,627,617022.48,691729.24,19,Purchase,Condo,Single,4,Master,30,0.108,1,0
HL00138,218330.21,200.3,715,800000.0,1147324.73,10,Purchase,Single Family,Married,4,Bachelor,15,0.139,3,1
HL00139,124998.14,1457.3,568,216426.77,277826.4,21,Purchase,Townhouse,Married,5,High School,30,0.221,2,1
HL00140,292240.07,1037.7,655,710832.73,889652.98,7,Purchase,Condo,Single,5,Bachelor,30,0.201,2,1
HL00141,289673.01,1190.73,745,800000.0,988769.48,27,Home Improvement,Single Family,Married,5,Bachelor,15,0.048,0,1
HL00142,94240.13,4542.17,594,649401.43,839019.94,40,Purchase,Condo,Single,3,High School,30,0.226,0,1
HL00143,161743.34,2340.35,699,656244.04,757787.57,29,Purchase,Single Family,Single,2,Bachelor,30,0.134,1,1
HL00144,107741.54,2331.5,570,572593.99,710414.38,32,Refinance,Townhouse,Single,4,High School,30,0.194,2,0
HL00145,103331.14,3802.88,598,800000.0,1043546.79,32,Purchase,Condo,Single,0,Bachelor,15,0.061,3,0
HL00146,35143.91,772.46,521,800000.0,999352.42,35,Purchase,Single Family,Married,1,High School,30,0.178,2,0
HL00147,192630.19,2436.33,646,195143.68,212574.81,26,Refinance,Single Family,Married,4,High School,30,0.082,1,1
HL00148,163236.73,2149.93,557,800000.0,1029661.11,19,Refinance,Single Family,Married,4,High School,20,0.126,3,1
HL00149,39156.66,2984.55,545,522439.08,540827.2,32,Refinance,Single Family,Single,0,Bachelor,15,0.034,2,0
HL00150,101627.78,4997.79,529,337703.17,360408.93,24,Refinance,Single Family,Single,4,High School,30,0.063,0,0
HL00151,274773.12,3847.24,722,800000.0,1053489.64,18,Purchase,Condo,Married,4,Master,15,0.05,2,1
HL00152,90879.52,1989.33,631,514462.58,561027.9,20,Refinance,Single Family,Single,4,High School,30,0.083,1,1
HL00153,64846.09,4137.77,495,800000.0,984410.28,32,Purchase,Single Family,Married,5,Master,30,0.052,1,0
HL00154,159599.51,853.54,696,303747.17,371329.06,2,Purchase,Condo,Divorced,5,Bachelor,30,0.182,2,1
HL00155,296053.87,152.32,822,76561.35,79420.49,13,Purchase,Single Family,Divorced,2,Master,30,0.036,1,1
HL00156,91565.2,1022.24,598,527414.59,632391.59,14,Purchase,Condo,Married,5,High School,30,0.166,0,0
HL00157,209837.28,1702.06,622,176303.63,187756.79,32,Purchase,Single Family,Married,4,High School,30,0.061,0,1
HL00158,234445.39,2552.9,808,703838.79,923672.95,21,Purchase,Single Family,Divorced,1,Bachelor,30,0.238,0,1
HL00159,90350.32,3075.65,529,294972.17,385584.53,0,Purchase,Single Family,Married,5,Bachelor,30,0.235,2,0
HL00160,225259.5,4553.03,663,528173.24,574101.35,30,Purchase,Townhouse,Married,2,High School,30,0.08,1,1
HL00161,126140.36,2549.27,622,144382.15,172912.76,34,Refinance,Single Family,Married,2,High School,30,0.165,0,1
HL00162,198884.1,2506.38,716,383181.95,397491.65,19,Refinance,Single Family,Married,3,Bachelor,15,0.036,3,1
HL00163,199220.67,251.22,667,729945.04,954176.52,31,Purchase,Single Family,Married,4,High School,30,0.235,1,1
HL00164,172338.04,174.56,611,209933.62,245536.4,11,Purchase,Townhouse,Married,1,High School,30,0.145,1,1
HL00165,49829.69,2755.8,527,770932.33,803054.51,15,Purchase,Single Family,Married,1,Bachelor,30,0.04,3,0
HL00166,254708.19,2190.89,660,800000.0,1107104.08,7,Purchase,Condo,Married,3,Bachelor,30,0.105,1,1
HL00167,113214.52,4195.9,556,800000.0,839816.35,13,Refinance,Condo,Married,1,PhD,30,0.047,0,0
HL00168,76292.59,803.4,590,800000.0,987399.4,17,Purchase,Single Family,Married,2,High School,20,0.116,1,0
HL00169,36213.16,124.86,539,162619.1,197593.08,29,Purchase,Single Family,Single,0,Bachelor,30,0.177,0,0
HL00170,187495.56,2245.19,569,309582.55,357073.3,32,Purchase,Single Family,Divorced,2,High School,20,0.133,0,1
HL00171,211330.2,1187.39,718,800000.0,1081356.21,33,Refinance,Single Family,Single,5,High School,15,0.114,0,1
HL00172,29561.65,248.07,539,800000.0,879493.82,33,Purchase,Single Family,Married,0,Bachelor,15,0.056,2,0
HL00173,165825.59,3622.99,569,727760.21,794498.05,6,Refinance,Single Family,Married,1,Bachelor,30,0.084,1,0
HL00174,87286.34,557.96,585,779007.23,821737.58,5,Purchase,Single Family,Married,4,PhD,30,0.052,3,0
HL00175,202422.52,3041.6,654,428452.69,540975.62,5,Refinance,Single Family,Single,0,Bachelor,30,0.208,2,1
HL00176,72950.77,1405.25,499,117618.64,125126.21,21,Home Improvement,Single Family,Single,2,High School,30,0.06,2,0
HL00177,215007.88,867.48,674,800000.0,957496.73,7,Purchase,Single Family,Divorced,2,High School,30,0.161,2,1
HL00178,131352.22,1898.76,563,750504.39,838552.39,36,Refinance,Townhouse,Single,5,Bachelor,30,0.105,2,1
HL00179,282600.75,4007.23,776,558352.62,606905.02,14,Refinance,Single Family,Single,2,Bachelor,30,0.08,0,1
HL00180,62818.26,1960.47,607,800000.0,1087229.57,25,Refinance,Single Family,Married,5,High School,15,0.171,0,0
HL00181,118793.25,3753.85,589,393813.09,453179.62,38,Refinance,Single Family,Married,2,Bachelor,30,0.131,3,0
HL00182,56205.22,627.43,540,358190.75,406111.96,2,Purchase,Single Family,Married,3,Master,30,0.118,1,0
HL00183,279290.75,3863.86,684,800000.0,1056895.87,9,Purchase,Single Family,Married,1,Bachelor,20,0.16,3,1
HL00184,266268.32,1184.67,713,800000.0,971611.11,2,Home Improvement,Single Family,Divorced,4,Bachelor,30,0.138,1,1
HL00185,95933.95,3386.97,596,590880.12,654352.29,29,Purchase,Single Family,Divorced,5,PhD,30,0.097,0,1
HL00186,206495.61,2828.91,642,188098.86,222076.58,21,Home Improvement,Condo,Married,3,Bachelor,30,0.153,1,1
HL00187,249736.11,4645.72,677,260854.3,316955.41,2,Purchase,Townhouse,Single,1,High School,30,0.177,1,1
HL00188,177680.22,1936.61,608,783979.26,813256.49,0,Purchase,Single Family,Married,5,High School,30,0.036,2,0
HL00189,170653.91,330.83,618,441092.77,508171.39,32,Refinance,Condo,Married,0,Bachelor,30,0.132,3,1
HL00190,91509.38,95.78,491,800000.0,1016032.34,18,Refinance,Single Family,Married,3,High School,15,0.043,2,0
HL00191,50603.26,4134.29,623,800000.0,1143699.39,35,Purchase,Single Family,Single,5,Master,30,0.071,2,0
HL00192,271734.33,2623.68,700,800000.0,981341.54,33,Purchase,Single Family,Married,3,Master,20,0.153,2,1
HL00193,272614.97,3876.22,647,389296.37,499738.6,30,Refinance,Single Family,Divorced,3,High School,20,0.221,2,1
HL00194,199102.9,1172.13,744,746723.25,962272.23,23,Home Improvement,Single Family,Married,3,Bachelor,15,0.224,0,1
HL00195,118233.19,1725.42,613,449205.15,470371.88,11,Refinance,Condo,Married,0,Bachelor,30,0.045,3,0
HL00196,121032.63,150.52,558,230903.11,262987.6,12,Purchase,Single Family,Married,2,High School,30,0.122,2,0
HL00197,224637.81,4807.46,705,94781.72,112567.36,15,Purchase,Single Family,Single,3,Bachelor,20,0.158,3,1
HL00198,271705.32,3339.34,705,477377.56,508931.3,15,Home Improvement,Single Family,Married,1,Bachelor,20,0.062,2,1
HL00199,268948.77,4666.03,704,800000.0,1091504.22,19,Purchase,Single Family,Single,2,Bachelor,30,0.198,0,1
HL00200,239465.78,1327.48,648,277151.09,343859.91,40,Purchase,Single Family,Married,0,High School,30,0.194,2,1
HL00201,201558.7,3057.32,673,236949.36,307327.31,26,Purchase,Single Family,Married,4,Bachelor,30,0.229,1,1
HL00202,48138.49,3392.5,560,800000.0,1166048.38,38,Purchase,Single Family,Married,0,High School,15,0.032,0,0
HL00203,69447.9,1587.75,612,95085.52,103129.63,12,Purchase,Single Family,Single,4,Bachelor,15,0.078,3,0
HL00204,272102.4,4240.55,590,755695.88,959004.92,3,Purchase,Single Family,Single,1,High School,20,0.212,1,0
HL00205,191767.99,4735.81,624,358836.87,436541.2,31,Refinance,Single Family,Married,4,Bachelor,30,0.178,1,1
HL00206,27529.19,4424.28,649,90575.46,117173.95,39,Purchase,Single Family,Single,5,High School,30,0.227,0,0
HL00207,52904.67,3695.33,538,800000.0,1107527.86,33,Purchase,Single Family,Single,3,High School,30,0.043,3,0
HL00208,207462.99,1387.32,623,194729.9,232097.62,38,Purchase,Single Family,Married,2,High School,30,0.161,0,1
HL00209,26391.94,1408.08,540,587910.18,695751.69,16,Home Improvement,Single Family,Married,5,Master,30,0.155,2,0
HL00210,69222.21,4816.8,523,368745.16,383310.98,23,Refinance,Single Family,Married,2,High School,30,0.038,0,0
HL00211,175901.79,51.42,527,127129.01,148341.9,28,Purchase,Single Family,Divorced,3,Bachelor,15,0.143,0,0
HL00212,215271.18,3580.25,646,109652.1,131162.8,27,Purchase,Condo,Single,2,High School,15,0.164,2,1
HL00213,204289.35,3531.23,658,190241.2,205001.29,21,Purchase,Single Family,Single,0,Bachelor,30,0.072,2,1
HL00214,86674.06,3113.45,590,141311.98,155287.89,27,Refinance,Multi Family,Married,3,Bachelor,30,0.09,3,0
HL00215,220849.29,4950.54,653,771490.51,930627.88,24,Purchase,Single Family,Married,3,High School,20,0.171,0,1
HL00216,90243.5,1559.4,597,538634.14,621261.98,40,Purchase,Condo,Single,2,High School,30,0.133,2,1
HL00217,114484.92,1699.86,658,359848.56,460753.6,2,Refinance,Condo,Married,5,High School,15,0.219,3,0
HL00218,230285.14,394.7,655,488370.19,545665.02,12,Refinance,Townhouse,Married,4,Bachelor,30,0.105,3,1
HL00219,203649.05,2213.99,623,800000.0,1120065.08,30,Purchase,Multi Family,Married,1,High School,30,0.089,2,1
HL00220,258536.44,1305.24,665,800000.0,1099595.79,12,Purchase,Single Family,Single,4,Bachelor,15,0.247,2,1
HL00221,205843.55,1716.93,681,677704.75,880136.04,40,Purchase,Single Family,Divorced,0,High School,15,0.23,3,1
HL00222,181284.87,4172.86,711,800000.0,1070267.67,17,Purchase,Single Family,Married,3,Bachelor,30,0.036,1,1
HL00223,50760.56,4677.42,543,347683.22,434604.03,36,Purchase,Single Family,Single,3,Bachelor,30,0.2,2,0
HL00224,126121.85,928.67,618,476545.6,503747.99,33,Home Improvement,Condo,Single,0,High School,15,0.054,1,1
HL00225,97930.65,1862.54,615,737870.86,765426.2,16,Purchase,Single Family,Single,1,Master,30,0.036,3,0
HL00226,92097.15,4643.15,546,706687.06,776579.19,20,Refinance,Condo,Married,3,Master,15,0.09,0,0
HL00227,292577.9,309.04,697,562007.12,616912.32,35,Purchase,Single Family,Married,4,High School,20,0.089,1,1
HL00228,133101.87,461.8,543,415334.66,525740.08,39,Purchase,Single Family,Single,0,Bachelor,30,0.21,1,1
HL00229,270312.8,813.95,596,800000.0,1184452.85,18,Refinance,Multi Family,Married,3,High School,30,0.186,1,1
HL00230,198563.12,2976.06,667,753068.12,998764.08,11,Refinance,Single Family,Married,4,Bachelor,30,0.246,1,1
HL00231,243573.11,752.36,652,458818.76,564352.72,27,Home Improvement,Single Family,Single,0,High School,15,0.187,1,1
HL00232,163225.2,4840.38,641,784233.15,893204.04,10,Purchase,Single Family,Married,0,Master,30,0.122,1,1
HL00233,183648.57,2233.57,640,308657.63,378256.9,36,Purchase,Townhouse,Single,0,High School,30,0.184,0,1
HL00234,160442.37,2507.59,581,140767.87,187690.49,27,Purchase,Condo,Single,1,Master,30,0.25,0,1
HL00235,78691.82,1233.29,587,383788.71,471484.9,34,Purchase,Condo,Married,0,Bachelor,30,0.186,0,1
